inventory_id,date,used,wasted
24,2026-08-30,167.22,3.34
24,2026-08-31,138.44,2.77
24,2026-09-01,128.08,2.56
24,2026-09-02,122.08,2.44
24,2026-09-03,119.58,2.39
24,2026-09-04,147.93,2.96
24,2026-09-05,152.84,3.06
24,2026-09-06,165.97,3.32
24,2026-09-07,132.97,2.66
24,2026-09-08,161.91,3.24
24,2026-09-09,137.12,2.74
24,2026-09-10,163.36,3.27
24,2026-09-11,133.14,2.66
24,2026-09-12,116.49,2.33
24,2026-09-13,165.99,3.32
24,2026-09-14,160.98,3.22
24,2026-09-15,119.45,2.39
24,2026-09-16,160.18,3.2
24,2026-09-17,118.64,2.37
